メーカー名,製品名,用途,該当する界面活性剤,直鎖アルキルベンゼンスルホン酸ナトリウム,アルキルグリコシド,アルキルアミンオキシド,塩化ベンザルコニウム,塩化ベンゼトニウム,塩化ジアルキルジメチルアンモニウム,ポリオキシエチレンアルキルエーテル,純石けん分（脂肪酸カリウム）,純石けん分（脂肪酸ナトリウム）,価格
アクリサンデー株式会社,ポリケアGM300,プラスチック板用洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,2480
アース製薬株式会社,らくハピ ねらってバブルーン トイレノズル,住宅家具洗浄剤,アルキルグリコシド,,◯,,,,,,,,516
アズマ工業株式会社,乳酸カビトリーナー洗浄効果プラス,住宅家具用洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,1150
アズマ工業株式会社,TKパックで簡単!油汚れ取りま専科,住宅用洗剤（キッチン用）,アルキルグリコシド,,◯,,,,,,,,1120
アズマ工業株式会社,TKパックで簡単!水あか取りま専科,住宅用洗剤（住宅用）,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,1290
ADEKAクリーンエイド株式会社,セーフメイトウイロックスプレー,住居家具用洗剤,塩化ジアルキルジメチルアンモニウム、塩化ベンザルコニウム,,,,◯,,◯,,,,2250
エイ・エフ・エム・ジャパン株式会社,除菌クリーンPRO,住宅家具用洗剤,塩化ジアルキルジメチルアンモニウム,,,,,,◯,,,,850
恵美須薬品化工株式会社,エビスクリーン10,住宅家具用洗剤,塩化ベンザルコニウム,,,,◯,,,,,,8950
恵美須薬品化工株式会社,スターカチオン,住宅・家具用除菌洗浄剤,塩化ジアルキルジメチルアンモニウム,,,,,,◯,,,,4400
オーブ・テック株式会社,ウイルスショットキラーマルチ洗剤,住宅用・家具用合成洗剤,純石けん分（脂肪酸ナトリウム）,,,,,,,,,◯,1430
花王株式会社,キッチンマジックリン消臭プラス,住宅家具用洗剤（台所周り用）,アルキルアミンオキシド,,,◯,,,,,,,328
花王株式会社,かんたんマイペット,住宅家具用洗剤（住宅家具用）,アルキルアミンオキシド,,,◯,,,,,,,272
花王株式会社,ガラスマジックリン,住宅家具用洗剤（住宅家具用）,アルキルグリコシド,,◯,,,,,,,,304
花王株式会社,フローリングマジックリン つや出しスプレー,住宅家具用洗剤（住宅家具用）,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,346
花王株式会社,食卓クイックルスプレー （ほのかな緑茶の香り、レモンの香り）,住宅家具用洗剤（住宅家具用）,アルキルグリコシド,,◯,,,,,,,,165
