メーカー名,製品名,用途,該当する界面活性剤,直鎖アルキルベンゼンスルホン酸ナトリウム,アルキルグリコシド,アルキルアミンオキシド,塩化ベンザルコニウム,塩化ベンゼトニウム,塩化ジアルキルジメチルアンモニウム,ポリオキシエチレンアルキルエーテル,純石けん分（脂肪酸カリウム）,純石けん分（脂肪酸ナトリウム）,価格
株式会社アルボース,アルファインT-5,台所用合成洗剤等,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,769
株式会社アルボース,ナチュラルソープKT,台所用合成洗剤等,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,
アンキッキ協栄株式会社,エコ ラ・ピカ,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,
ヱスケー石鹸株式会社,うるおい台所せっけん 本体・詰め替え,台所用合成洗剤等,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,330
ヱスケー石鹸株式会社,しっとり台所せっけん 本体・詰め替え,台所用合成洗剤等,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,198
ＮＳファーファ・ジャパン株式会社,ファーファ ココロ 食器用洗剤 本体 260g,台所用合成洗剤等,アルキルアミンオキシド,,,◯,,,,,,,660
花王株式会社,キュキュット ハンドマイルド,台所用合成洗剤等,アルキルグリコシド,,◯,,,,,,,,166
花王株式会社,パフォーミィ,台所用合成洗剤等,アルキルグリコシド,,◯,,,,,,,,1691
花王株式会社,モアコンパクト,台所用合成洗剤等,アルキルグリコシド,,◯,,,,,,,,3273
花王株式会社,バイオガード中性洗剤,台所用合成洗剤等,アルキルグリコシド、アルキルアミンオキシド,,◯,◯,,,,,,,3285
カネヨ石鹸株式会社,ソープン （フレッシュ、オレンジ、グレープフルーツ）,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,97
カネヨ石鹸株式会社,ハーブメント除菌オレンジ,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,109
カネヨ石鹸株式会社,台所用洗剤4Ｌ,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,1064
カネヨ石鹸株式会社,台所用洗剤バック・イン・ボックス,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,4080
カネヨ石鹸株式会社,台所用洗剤18Ｌ,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,2527
株式会社亀の子束子西尾商店,亀の子ウォッシュ 無香料,台所用合成洗剤等,アルキルグリコシド,,◯,,,,,,,,770
株式会社亀の子束子西尾商店,亀の子ウォッシュ シトラス,台所用合成洗剤等,アルキルグリコシド,,◯,,,,,,,,770
サンスター株式会社,輝き洗剤 キーラ,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,1320
